,week,region,cases
303,13,Sylmar,32
304,13,Tarzana,99
305,13,Temple,11
306,13,Temple City,3
307,13,Temple-Beaudry,15
308,13,Thai Town,0
309,13,Toluca Lake,0
310,13,Toluca Terrace,0
311,13,Toluca Woods,0
312,13,Torrance,119
313,13,Tujunga,12
314,13,University Hills,0
315,13,University Park,26
316,13,Valinda,2
317,13,Valley Glen,48
318,13,Valley Village,45
319,13,Van Nuys,33
320,13,Venice,76
321,13,Vermont Knolls,6
322,13,Vermont Square,0
323,13,Vermont Vista,22
324,13,Vernon,0
325,13,Vernon Central,13
326,13,Victoria Park,0
327,13,View Heights,0
328,13,Walnut,10
329,13,Watts,6
330,13,Wellington Square,0
331,13,West Adams,34
332,13,West Covina,24
333,13,West Hills,32
334,13,West Hollywood,264
335,13,West Los Angeles,57
336,13,West Vernon,39
337,13,West Whittier/Los Nietos,0
338,13,Westchester,55
339,13,Westlake,12
340,13,Westlake Village,0
341,13,Westwood,87
342,13,Whittier,29
343,13,Wholesale District,42
344,13,Willowbrook,6
345,13,Wilmington,17
346,13,Wilshire Center,19
347,13,Winnetka,31
348,13,Woodland Hills,90
349,14,Acton,0
350,14,Adams-Normandie,57
351,14,Agoura Hills,95
352,14,Alhambra,109
353,14,Alsace,0
354,14,Altadena,111
355,14,Angeles National Forest,0
356,14,Angelino Heights,0
357,14,Arcadia,83
358,14,Arleta,64
359,14,Artesia,0
360,14,Atwater Village,6
361,14,Avalon,0
362,14,Azusa,52
363,14,Baldwin Hills,98
364,14,Baldwin Park,36
365,14,Bassett,0
366,14,Bel Air,90
367,14,Bell,99
368,14,Bell Gardens,46
369,14,Bellflower,172
370,14,Beverly Crest,156
371,14,Beverly Hills,325
372,14,Beverlywood,103
373,14,Boyle Heights,158
374,14,Bradbury,0
375,14,Brentwood,290
376,14,Brookside,0
377,14,Burbank,309
378,14,Cadillac-Corning,0
379,14,Calabasas,102
380,14,Canoga Park,118
381,14,Canyon Country,20
382,14,Carson,480
383,14,Carthay,139
384,14,Castaic,27
385,14,Central,108
386,14,Century City,119
387,14,Century Palms/Cove,85
388,14,Cerritos,75
389,14,Chatsworth,126
390,14,Cheviot Hills,58
391,14,Chinatown,0
392,14,Claremont,21
393,14,Cloverdale/Cochran,38
394,14,Commerce,0
395,14,Compton,169
396,14,Country Club Park,53
397,14,Covina,109
398,14,Crenshaw District,36
399,14,Crestview,121
400,14,Cudahy,54
401,14,Culver City,220
402,14,Del Rey,141
403,14,Diamond Bar,50
404,14,Downey,303
405,14,Downtown,109
406,14,Duarte,0
407,14,Eagle Rock,95
408,14,East Hollywood,93
409,14,East Los Angeles,176
410,14,Echo Park,47
411,14,El Monte,58
412,14,El Segundo,18
413,14,El Sereno,65
414,14,Elysian Park,15
415,14,Elysian Valley,0
416,14,Encino,237
417,14,Exposition,0
418,14,Exposition Park,99
419,14,Faircrest Heights,0
420,14,Figueroa Park Square,0
421,14,Florence-Firestone,260
422,14,Gardena,123
423,14,Glassell Park,133
424,14,Glendale,667
425,14,Glendora,62
426,14,Gramercy Place,25
427,14,Granada Hills,122
428,14,Green Meadows,52
429,14,Hacienda Heights,69
430,14,Hancock Park,231
431,14,Harbor City,76
432,14,Harbor Gateway,81
433,14,Harbor Pines,0
434,14,Harvard Heights,37
435,14,Harvard Park,52
436,14,Hawaiian Gardens,0
437,14,Hawthorne,250
438,14,Hermosa Beach,94
439,14,Hidden Hills,0
440,14,Highland Park,82
441,14,Historic Filipinotown,32
442,14,Hollywood,501
443,14,Hollywood Hills,233
444,14,Huntington Park,105
445,14,Hyde Park,66
446,14,Industry,0
447,14,Inglewood,324
448,14,Irwindale,0
449,14,Jefferson Park,0
450,14,Koreatown,151
451,14,La Canada Flintridge,71
452,14,La Habra Heights,0
453,14,La Mirada,74
454,14,La Puente,50
455,14,La Verne,21
456,14,Lafayette Square,5
457,14,Lake Balboa,116
458,14,Lake Los Angeles,0
459,14,Lakeview Terrace,47
460,14,Lakewood,149
461,14,Lancaster,255
462,14,Lawndale,58
463,14,Leimert Park,61
464,14,Lincoln Heights,45
465,14,Little Armenia,37
466,14,Little Bangladesh,68
467,14,Little Tokyo,0
468,14,Lomita,22
469,14,Longwood,0
470,14,Los Feliz,111
471,14,Lynwood,163
472,14,Malibu,28
473,14,Manchester Square,0
474,14,Mandeville Canyon,0
475,14,Manhattan Beach,292
476,14,Mar Vista,137
477,14,Marina Peninsula,30
478,14,Maywood,68
479,14,Melrose,789
480,14,Mid-city,102
481,14,Miracle Mile,91
482,14,Mission Hills,55
483,14,Monrovia,51
484,14,Montebello,63
485,14,Monterey Park,74
486,14,Mt. Washington,22
487,14,North Hills,99
488,14,North Hollywood,419
489,14,Northridge,104
490,14,Norwalk,200
491,14,Pacific Palisades,164
