,month,region,cases
349,4,La Habra Heights,12
350,4,La Mirada,995
351,4,La Puente,668
352,4,La Verne,310
353,4,Lafayette Square,217
354,4,Lake Balboa,1315
355,4,Lake Los Angeles,274
356,4,Lakeview Terrace,749
357,4,Lakewood,1481
358,4,Lancaster,4381
359,4,Lawndale,1018
360,4,Leimert Park,703
361,4,Lincoln Heights,885
362,4,Little Armenia,1430
363,4,Little Bangladesh,1174
364,4,Little Tokyo,35
365,4,Lomita,649
366,4,Longwood,135
367,4,Los Feliz,713
368,4,Lynwood,2776
369,4,Malibu,547
370,4,Manchester Square,118
371,4,Mandeville Canyon,6
372,4,Manhattan Beach,1681
373,4,Mar Vista,1129
374,4,Marina Peninsula,239
375,4,Maywood,1016
376,4,Melrose,6659
377,4,Mid-city,794
378,4,Miracle Mile,723
379,4,Mission Hills,988
380,4,Monrovia,604
381,4,Montebello,1949
382,4,Monterey Park,1155
383,4,Mt. Washington,566
384,4,North Hills,2050
385,4,North Hollywood,5100
386,4,Northridge,2172
387,4,Norwalk,2958
388,4,Pacific Palisades,952
389,4,Pacoima,2894
390,4,Palisades Highlands,18
391,4,Palmdale,5193
392,4,Palms,2071
393,4,Palos Verdes Estates,965
394,4,Panorama City,3275
395,4,Paramount,1867
396,4,Park La Brea,284
397,4,Pasadena,208
398,4,Pico Rivera,2390
399,4,Pico-Union,2574
400,4,Playa Del Rey,6
401,4,Playa Vista,594
402,4,Pomona,2263
403,4,Porter Ranch,1003
404,4,Rancho Palos Verdes,1258
405,4,Rancho Park,247
406,4,Redondo Beach,2498
407,4,Regent Square,10
408,4,Reseda,2909
409,4,Reseda Ranch,269
410,4,Reynier Village,142
411,4,Rolling Hills,6
412,4,Rolling Hills Estates,310
413,4,Rosemead,504
414,4,Rowland Heights,708
415,4,San Dimas,555
416,4,San Fernando,1077
417,4,San Gabriel,520
418,4,San Marino,213
419,4,San Pedro,2805
420,4,Santa Clarita,5799
421,4,Santa Fe Springs,270
422,4,Santa Monica,3221
423,4,Santa Monica Mountains,13002
424,4,Shadow Hills,228
425,4,Sherman Oaks,2535
426,4,Sierra Madre,45
427,4,Signal Hill,99
428,4,Silverlake,2400
429,4,South Carthay,606
430,4,South El Monte,366
431,4,South Gate,3816
432,4,South Park,1654
433,4,South Pasadena,881
434,4,South Whittier,1081
435,4,St Elmo Village,105
436,4,Stevenson Ranch,528
437,4,Studio City,752
438,4,Sun Valley,1578
439,4,Sunland,1164
440,4,Sycamore Square,1
441,4,Sylmar,4583
442,4,Tarzana,1532
443,4,Temple City,681
444,4,Temple-Beaudry,2182
445,4,Thai Town,269
446,4,Toluca Lake,209
447,4,Toluca Terrace,10
448,4,Toluca Woods,18
449,4,Torrance,4957
450,4,Tujunga,844
451,4,University Hills,30
452,4,University Park,1115
453,4,Valinda,636
454,4,Valley Glen,1325
455,4,Valley Village,1508
456,4,Van Nuys,3787
457,4,Venice,1032
458,4,Vermont Knolls,766
459,4,Vermont Square,608
460,4,Vermont Vista,1346
461,4,Vernon,0
462,4,Vernon Central,2127
463,4,Victoria Park,600
464,4,View Heights,105
465,4,Walnut,434
466,4,Watts,1255
467,4,Wellington Square,108
468,4,West Adams,1710
469,4,West Covina,1663
470,4,West Hills,882
471,4,West Hollywood,3215
472,4,West Los Angeles,1314
473,4,West Vernon,2762
474,4,West Whittier/Los Nietos,510
475,4,Westchester,1220
476,4,Westlake,3225
477,4,Westlake Village,136
478,4,Westwood,1089
479,4,Whittier,1852
480,4,Wholesale District,1114
481,4,Willowbrook,1063
482,4,Wilmington,1347
483,4,Wilshire Center,1708
484,4,Winnetka,2067
485,4,Woodland Hills,2243
486,5,Acton,1127
487,5,Adams-Normandie,1174
488,5,Agoura Hills,827
489,5,Alhambra,3995
490,5,Alsace,1234
491,5,Altadena,3540
492,5,Angeles National Forest,0
493,5,Angelino Heights,384
494,5,Arcadia,1782
495,5,Arleta,6073
496,5,Artesia,614
497,5,Atwater Village,1263
498,5,Avalon,62
499,5,Azusa,4853
500,5,Baldwin Hills,3568
501,5,Baldwin Park,6139
502,5,Bassett,3433
503,5,Bel Air,1000
504,5,Bell,6347
505,5,Bell Gardens,5508
506,5,Bellflower,7723
507,5,Beverly Crest,1092
508,5,Beverly Hills,3831
509,5,Beverlywood,1060
510,5,Boyle Heights,13278
511,5,Bradbury,65
512,5,Brentwood,2228
513,5,Brookside,0
514,5,Burbank,10320
515,5,Cadillac-Corning,772
516,5,Calabasas,1573
517,5,Canoga Park,12649
518,5,Canyon Country,1677
519,5,Carson,13277
520,5,Carthay,2218
521,5,Castaic,7305
522,5,Central,7781
523,5,Century City,982
524,5,Century Palms/Cove,5077
525,5,Cerritos,2667
526,5,Chatsworth,4505
527,5,Cheviot Hills,592
528,5,Chinatown,437
529,5,Claremont,979
530,5,Cloverdale/Cochran,1563
531,5,Commerce,995
532,5,Compton,12582
533,5,Country Club Park,2500
534,5,Covina,6107
535,5,Crenshaw District,1893
536,5,Crestview,2391
537,5,Cudahy,4136
538,5,Culver City,5110
539,5,Del Rey,1948
540,5,Diamond Bar,1494
541,5,Downey,12821
542,5,Downtown,3209
543,5,Duarte,3979
544,5,Eagle Rock,4250
